四川电信,#genre#
辽宁卫视,http://171.213.218.181:4022/udp/239.93.1.108:5140
云南卫视,http://171.213.218.181:4022/udp/239.93.1.174:5140
河南卫视,http://171.213.218.181:4022/udp/239.93.42.45:5140
广西卫视,http://171.213.218.181:4022/udp/239.93.42.46:5140
云南卫视,http://171.213.218.181:4022/udp/239.93.0.174:5140
吉林卫视,http://171.213.218.181:4022/udp/239.93.0.248:5140
甘肃卫视,http://171.213.218.181:4022/udp/239.93.0.81:5140
峨眉电影,http://171.213.218.181:4022/udp/239.93.0.252:5140
CDTV-2,http://171.213.218.181:4022/udp/239.93.0.17:1239
CDTV-3,http://171.213.218.181:4022/udp/239.93.0.18:1238
CDTV-4,http://171.213.218.181:4022/udp/239.93.0.19:1250
CDTV-5,http://171.213.218.181:4022/udp/239.93.1.231:5140
CDTV-6,http://171.213.218.181:4022/udp/239.93.0.21:1251
CDTV-8,http://171.213.218.181:4022/udp/239.93.0.22:1252
上海纪实,http://171.213.218.181:4022/udp/239.93.1.137:5140
金鹰纪实,http://171.213.218.181:4022/udp/239.93.0.130:5140
CETV-1,http://171.213.218.181:4022/udp/239.93.1.111:5140
熊猫新闻,http://171.213.218.181:4022/udp/239.93.1.112:5140
熊猫体娱,http://171.213.218.181:4022/udp/239.93.0.94:5140
熊猫少儿,http://171.213.218.181:4022/udp/239.93.1.189:5140
熊猫影院,http://171.213.218.181:4022/udp/239.93.0.214:5140
熊猫频道,http://171.213.218.181:4022/udp/239.93.0.211:9148
金熊猫卡通,http://171.213.218.181:4022/udp/239.93.1.172:5140
熊猫爱生活,http://171.213.218.181:4022/udp/239.93.1.190:5140
大爱四川,http://171.213.218.181:4022/udp/239.93.1.110:5140
大爱旅游,http://171.213.218.181:4022/udp/239.93.42.70:5140
大爱生活,http://171.213.218.181:4022/udp/239.93.42.71:5140
大爱时尚,http://171.213.218.181:4022/udp/239.93.42.72:5140
HD看电影,http://171.213.218.181:4022/udp/239.93.42.47:5140
华语影院,http://171.213.218.181:4022/udp/239.93.0.138:5140
星光院线,http://171.213.218.181:4022/udp/239.93.0.139:5140
全球大片,http://171.213.218.181:4022/udp/239.93.0.105:5140
热播剧场,http://171.213.218.181:4022/udp/239.93.0.56:9020
热门剧场,http://171.213.218.181:4022/udp/239.93.0.140:5140
港剧风云,http://171.213.218.181:4022/udp/239.93.0.143:5140
谍战剧场,http://171.213.218.181:4022/udp/239.93.0.95:5140
宝宝动画,http://171.213.218.181:4022/udp/239.93.0.147:5140
少儿动画,http://171.213.218.181:4022/udp/239.93.0.193:9000
青春动漫,http://171.213.218.181:4022/udp/239.93.0.146:5140
热门综艺,http://171.213.218.181:4022/udp/239.93.0.151:5140
音乐现场,http://171.213.218.181:4022/udp/239.93.0.198:9044
戏曲精选,http://171.213.218.181:4022/udp/239.93.0.144:5140
汽摩,http://171.213.218.181:4022/udp/239.93.0.62:5140
电竞天堂,http://171.213.218.181:4022/udp/239.93.1.135:5140
蓉城先锋,http://171.213.218.181:4022/udp/239.93.0.91:2101
星空精选,http://171.213.218.181:4022/udp/239.93.1.171:5140
东方财经,http://171.213.218.181:4022/udp/239.93.1.165:5140
CGTN西班牙语,http://171.213.218.181:4022/udp/239.93.42.49:5140
CGTN法语,http://171.213.218.181:4022/udp/239.93.42.50:5140
爱怀旧,http://171.213.218.181:4022/udp/239.93.42.21:5140
爱喜剧,http://171.213.218.181:4022/udp/239.93.42.9:5140
爱奇谈,http://171.213.218.181:4022/udp/239.93.42.22:5140
爱科幻,http://171.213.218.181:4022/udp/239.93.42.10:5140
爱院线,http://171.213.218.181:4022/udp/239.93.42.11:5140
都市剧场,http://171.213.218.181:4022/udp/239.93.42.30:5140
