湖南电信,#genre#
游戏风云HD,http://118.255.77.168:8887/udp/239.76.246.132:1234
体育,http://118.255.77.168:8887/udp/239.76.253.136:9000
全纪实HD,http://118.255.77.168:8887/udp/239.76.246.137:1234
法治天地HD,http://118.255.77.168:8887/udp/239.76.246.138:1234
生活时尚HD,http://118.255.77.168:8887/udp/239.76.246.223:1234
浏阳HD,http://118.255.77.168:8887/udp/239.76.248.6:1234
常德综合HD,http://118.255.77.168:8887/udp/239.76.248.10:1234
常德公共HD,http://118.255.77.168:8887/udp/239.76.248.11:1234
衡阳综合HD,http://118.255.77.168:8887/udp/239.76.248.13:1234
衡阳公共HD,http://118.255.77.168:8887/udp/239.76.248.14:1234
娄底综合HD,http://118.255.77.168:8887/udp/239.76.248.18:1234
娄底公共HD,http://118.255.77.168:8887/udp/239.76.248.19:1234
张家界综合HD,http://118.255.77.168:8887/udp/239.76.252.234:9000
张家界2HD,http://118.255.77.168:8887/udp/239.76.252.235:9000
娄底教育HD,http://118.255.77.168:8887/udp/239.76.248.20:1234
XNXTV,http://118.255.77.168:8887/udp/239.76.248.21:1234
邵阳新闻HD,http://118.255.77.168:8887/udp/239.76.248.23:1234
邵阳新闻HD,http://118.255.77.168:8887/udp/239.76.255.21:9000
邵阳公共HD,http://118.255.77.168:8887/udp/239.76.248.22:1234
邵阳公共HD,http://118.255.77.168:8887/udp/239.76.255.22:9000
宁乡综合HD,http://118.255.77.168:8887/udp/239.76.248.57:1234
怀化综合HD,http://118.255.77.168:8887/udp/239.76.255.12:9000
IPTV戏曲频道,http://118.255.77.168:8887/udp/239.76.253.40:9000
IPTV故事频道,http://118.255.77.168:8887/udp/239.76.253.41:9000
IPTV健康之路,http://118.255.77.168:8887/udp/239.76.253.42:9000
IPTV综艺纪实HD,http://118.255.77.168:8887/udp/239.76.254.111:9000
IPTV精选热播HD,http://118.255.77.168:8887/udp/239.76.254.110:9000
IPTV搞笑动画HD,http://118.255.77.168:8887/udp/239.76.254.207:9000
IPTV甜宠剧场HD,http://118.255.77.168:8887/udp/239.76.254.109:9000
金色夕阳HD,http://118.255.77.168:8887/udp/239.76.254.43:9000
