重庆电信,#genre#
HZTV-1,http://116.23.139.220:4022/udp/239.77.1.154:5146
HZTV-1,http://116.23.139.220:4022/udp/239.77.1.232:5146
HZTV-2,http://116.23.139.220:4022/udp/239.77.0.248:5146
HZTV-2,http://116.23.139.220:4022/udp/239.77.1.173:5146
HZTV-2,http://116.23.139.220:4022/udp/239.77.1.233:5146
珠海-1,http://116.23.139.220:4022/udp/239.77.1.230:5146
珠海-1,http://116.23.139.220:4022/udp/239.77.0.155:5146
珠海-2,http://116.23.139.220:4022/udp/239.77.1.231:5146
珠海-2,http://116.23.139.220:4022/udp/239.77.0.154:5146
肇庆综合,http://116.23.139.220:4022/udp/239.253.43.3:5146
肇庆综合,http://116.23.139.220:4022/udp/239.253.43.1:5146
肇庆生活服务,http://116.23.139.220:4022/udp/239.253.43.4:5146
肇庆生活服务,http://116.23.139.220:4022/udp/239.253.43.2:5146
河源综合,http://116.23.139.220:4022/udp/239.253.43.215:5146
河源综合,http://116.23.139.220:4022/udp/239.253.43.213:5146
河源公共,http://116.23.139.220:4022/udp/239.253.43.216:5146
河源公共,http://116.23.139.220:4022/udp/239.253.43.214:5146
清远新闻综合,http://116.23.139.220:4022/udp/239.253.43.31:5146
清远新闻综合,http://116.23.139.220:4022/udp/239.253.43.33:5146
清远文旅生活,http://116.23.139.220:4022/udp/239.253.43.32:5146
清远文旅生活,http://116.23.139.220:4022/udp/239.77.0.241:5146
清远文旅生活,http://116.23.139.220:4022/udp/239.253.43.34:5146
云浮综合,http://116.23.139.220:4022/udp/239.253.43.195:5146
云浮综合,http://116.23.139.220:4022/udp/239.77.0.253:5146
云浮文旅,http://116.23.139.220:4022/udp/239.253.43.194:5146
云浮文旅,http://116.23.139.220:4022/udp/239.77.0.254:5146
茂名综合,http://116.23.139.220:4022/udp/239.77.0.204:5146
茂名综合,http://116.23.139.220:4022/udp/239.77.0.206:5146
茂名公共,http://116.23.139.220:4022/udp/239.77.0.205:5146
茂名公共,http://116.23.139.220:4022/udp/239.77.0.207:5146
汕头综合,http://116.23.139.220:4022/udp/239.253.43.30:5146
汕头综合,http://116.23.139.220:4022/udp/239.77.1.130:5146
汕头综合,http://116.23.139.220:4022/udp/239.253.43.45:5146
汕头经济生活,http://116.23.139.220:4022/udp/239.253.43.43:5146
汕头经济生活,http://116.23.139.220:4022/udp/239.77.1.131:5146
汕头经济生活,http://116.23.139.220:4022/udp/239.253.43.46:5146
汕头文旅体育,http://116.23.139.220:4022/udp/239.253.43.44:5146
汕头文旅体育,http://116.23.139.220:4022/udp/239.77.1.132:5146
汕头文旅体育,http://116.23.139.220:4022/udp/239.253.43.47:5146
佛山公共,http://116.23.139.220:4022/udp/239.253.43.48:5146
佛山公共,http://116.23.139.220:4022/udp/239.253.43.53:5146
佛山南海,http://116.23.139.220:4022/udp/239.253.43.49:5146
佛山南海,http://116.23.139.220:4022/udp/239.77.0.236:5146
佛山南海,http://116.23.139.220:4022/udp/239.253.43.54:5146
佛山顺德,http://116.23.139.220:4022/udp/239.253.43.50:5146
佛山顺德,http://116.23.139.220:4022/udp/239.253.43.55:5146
佛山影视,http://116.23.139.220:4022/udp/239.253.43.51:5146
佛山影视,http://116.23.139.220:4022/udp/239.253.43.56:5146
佛山综合,http://116.23.139.220:4022/udp/239.253.43.52:5146
佛山综合,http://116.23.139.220:4022/udp/239.253.43.57:5146
东莞新闻综合,http://116.23.139.220:4022/udp/239.253.43.102:5146
东莞新闻综合,http://116.23.139.220:4022/udp/239.253.43.104:5146
东莞生活资讯,http://116.23.139.220:4022/udp/239.253.43.103:5146
东莞生活资讯,http://116.23.139.220:4022/udp/239.253.43.105:5146
中山综合,http://116.23.139.220:4022/udp/239.253.43.59:5146
中山综合,http://116.23.139.220:4022/udp/239.253.43.62:5146
